ablation,episodes,success_rate,success_ci_low,success_ci_high,collision_rate,timeout_rate,avg_reward,reward_std,delta_vs_baseline
baseline,200,31.0,24.998944836078092,37.71717756625804,69.0,0.0,36.433577835241856,116.35982965968799,0.0
const_depth,200,9.5,6.166310271738653,14.36016116481994,86.5,4.0,-81.12498910263102,311.4112675998983,-21.5
