axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
gaussian,高斯球稀疏化,100,%,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
gaussian,高斯球稀疏化,50,%,52.0,48.0,0.0,84.73667561480224,130.4480677323289,26.53846153846154,50
gaussian,高斯球稀疏化,20,%,48.0,52.0,0.0,73.52918494258334,127.06740220881026,26.958333333333332,50
gaussian,高斯球稀疏化,5,%,34.0,66.0,0.0,37.44738063019152,117.51145889300699,25.470588235294116,50
gaussian,高斯球稀疏化,2,%,22.0,78.0,0.0,-3.298427137530642,114.95499161902953,26.181818181818183,50
resolution,渲染分辨率,64,px,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
resolution,渲染分辨率,32,px,50.0,50.0,0.0,80.410577771511,130.34645297277595,25.92,50
resolution,渲染分辨率,16,px,48.0,52.0,0.0,74.43923336776514,131.0024149998982,25.25,50
resolution,渲染分辨率,8,px,48.0,52.0,0.0,74.35924446724125,129.12728214535215,25.291666666666668,50
resolution,渲染分辨率,2,px,34.0,66.0,0.0,37.43810319551224,112.53817459729868,22.11764705882353,50
depth_noise,深度噪声,0.0,σ,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
depth_noise,深度噪声,0.1,σ,57.99999999999999,42.0,0.0,99.17247868779246,128.24590009517453,27.79310344827586,50
depth_noise,深度噪声,0.25,σ,54.0,46.0,0.0,89.6952897233234,129.55466844814424,26.074074074074073,50
depth_noise,深度噪声,0.5,σ,62.0,38.0,0.0,108.94699648731091,123.89285157617043,26.483870967741936,50
depth_noise,深度噪声,1.0,σ,50.0,44.0,6.0,-31.900933698441627,468.8369459049488,29.44,50
lighting,光照偏移,0,EV,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
lighting,光照偏移,1,EV,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
lighting,光照偏移,2,EV,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
lighting,光照偏移,3,EV,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
lighting,光照偏移,4,EV,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
viewpoint_uncertainty,视角不确定性,360,°,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
viewpoint_uncertainty,视角不确定性,270,°,57.99999999999999,42.0,0.0,101.60533023341173,128.30918409100323,26.79310344827586,50
viewpoint_uncertainty,视角不确定性,180,°,60.0,40.0,0.0,105.7903646643262,123.34450013190549,26.8,50
viewpoint_uncertainty,视角不确定性,90,°,57.99999999999999,40.0,2.0,59.514581619613345,271.2840131304084,31.551724137931036,50
viewpoint_uncertainty,视角不确定性,45,°,46.0,48.0,6.0,-42.93882360468687,438.1850760680569,36.43478260869565,50
depth_failure,深度大面积失效,0,%,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
depth_failure,深度大面积失效,25,%,8.0,90.0,2.0,-81.61875567501662,234.5673904538409,29.75,50
depth_failure,深度大面积失效,50,%,0.0,100.0,0.0,-73.2583098849513,20.073175632340703,0.0,50
depth_failure,深度大面积失效,75,%,0.0,100.0,0.0,-111.22635298754746,45.173605918327354,0.0,50
depth_failure,深度大面积失效,90,%,0.0,100.0,0.0,-120.82985336906178,49.32186793104829,0.0,50
occlusion,相机遮挡,0,%,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
occlusion,相机遮挡,25,%,0.0,100.0,0.0,-90.95834007125205,35.22604903739614,0.0,50
occlusion,相机遮挡,50,%,0.0,100.0,0.0,-120.17371931854085,48.34557676003163,0.0,50
occlusion,相机遮挡,75,%,0.0,100.0,0.0,-115.36366500097594,47.99736157391811,0.0,50
occlusion,相机遮挡,90,%,0.0,100.0,0.0,-115.07626823014918,47.79474030320938,0.0,50
depth_scale,深度尺度偏差,1.0,×,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
depth_scale,深度尺度偏差,0.75,×,64.0,36.0,0.0,115.60161514668323,126.244088642982,27.6875,50
depth_scale,深度尺度偏差,0.5,×,46.0,54.0,0.0,59.747813313732614,124.7854305994295,31.217391304347824,50
depth_scale,深度尺度偏差,0.25,×,2.0,90.0,8.0,-251.1458751457834,601.5101858184147,48.0,50
depth_scale,深度尺度偏差,0.1,×,0.0,100.0,0.0,-124.38623451612777,54.354223222831486,0.0,50
combined,组合退化,0.0,severity,56.00000000000001,44.0,0.0,95.96413178351986,129.20656249263544,26.321428571428573,50
combined,组合退化,0.25,severity,6.0,88.0,6.0,-171.83088626650647,537.7133170614117,26.0,50
combined,组合退化,0.5,severity,2.0,94.0,4.0,-140.3439041861953,428.41445008663425,24.0,50
combined,组合退化,0.75,severity,28.000000000000004,72.0,0.0,23.800439531234773,108.77005239548045,23.785714285714285,50
combined,组合退化,1.0,severity,40.0,60.0,0.0,50.348388852110084,117.80701075775076,25.6,50
