axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
gaussian,高斯球稀疏化,100,%,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
gaussian,高斯球稀疏化,50,%,48.0,52.0,0.0,74.15012962631455,126.37542279989887,25.291666666666668,50
gaussian,高斯球稀疏化,20,%,40.0,60.0,0.0,55.7110019081843,122.92313957458751,24.35,50
gaussian,高斯球稀疏化,5,%,32.0,66.0,2.0,5.963098400264638,238.76154825996585,23.25,50
gaussian,高斯球稀疏化,2,%,18.0,76.0,6.0,-116.57839423169304,469.2885702966084,24.333333333333332,50
resolution,渲染分辨率,64,px,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
resolution,渲染分辨率,32,px,50.0,50.0,0.0,80.7434778849995,127.27622357020611,24.8,50
resolution,渲染分辨率,16,px,44.0,56.00000000000001,0.0,66.59919394727088,129.51573982610446,25.545454545454547,50
resolution,渲染分辨率,8,px,40.0,60.0,0.0,53.79690292966686,121.17185945490101,24.65,50
resolution,渲染分辨率,2,px,36.0,64.0,0.0,45.88844027376322,118.38660755225058,22.88888888888889,50
depth_noise,深度噪声,0.0,σ,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
depth_noise,深度噪声,0.1,σ,57.99999999999999,42.0,0.0,100.20414917801867,127.58300819846234,26.448275862068964,50
depth_noise,深度噪声,0.25,σ,60.0,40.0,0.0,98.46727968914138,132.71699675889388,29.9,50
depth_noise,深度噪声,0.5,σ,57.99999999999999,40.0,2.0,64.943725697598,300.33048858224265,26.0,50
depth_noise,深度噪声,1.0,σ,42.0,56.00000000000001,2.0,18.590323425844375,285.34660605206767,27.904761904761905,50
lighting,光照偏移,0,EV,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
lighting,光照偏移,1,EV,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
lighting,光照偏移,2,EV,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
lighting,光照偏移,3,EV,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
lighting,光照偏移,4,EV,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
viewpoint_uncertainty,视角不确定性,360,°,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
viewpoint_uncertainty,视角不确定性,270,°,62.0,38.0,0.0,113.12985132970653,126.74288514613207,26.838709677419356,50
viewpoint_uncertainty,视角不确定性,180,°,54.0,44.0,2.0,62.198150545090336,255.31169609414945,26.0,50
viewpoint_uncertainty,视角不确定性,90,°,26.0,70.0,4.0,-58.22454282810564,362.91082610835053,26.923076923076923,50
viewpoint_uncertainty,视角不确定性,45,°,14.000000000000002,86.0,0.0,-40.497738546356366,88.63831838388856,63.57142857142857,50
depth_failure,深度大面积失效,0,%,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
depth_failure,深度大面积失效,25,%,0.0,90.0,10.0,-261.15968914597465,562.9732547607586,0.0,50
depth_failure,深度大面积失效,50,%,16.0,84.0,0.0,-11.143341503425656,89.15122087333177,34.75,50
depth_failure,深度大面积失效,75,%,0.0,98.0,2.0,-122.90912263991828,340.1186006521525,0.0,50
depth_failure,深度大面积失效,90,%,0.0,98.0,2.0,-140.40481967178238,401.1146729988343,0.0,50
occlusion,相机遮挡,0,%,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
occlusion,相机遮挡,25,%,0.0,100.0,0.0,-74.88300028748554,18.71017283955447,0.0,50
occlusion,相机遮挡,50,%,0.0,100.0,0.0,-71.04047921643115,20.595343527922292,0.0,50
occlusion,相机遮挡,75,%,0.0,100.0,0.0,-89.73488213061773,32.56614110173819,0.0,50
occlusion,相机遮挡,90,%,0.0,100.0,0.0,-97.13109597182022,48.67707595325096,0.0,50
depth_scale,深度尺度偏差,1.0,×,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
depth_scale,深度尺度偏差,0.75,×,56.00000000000001,44.0,0.0,94.27750617855058,124.1692342058892,27.035714285714285,50
depth_scale,深度尺度偏差,0.5,×,28.000000000000004,72.0,0.0,9.424540520497509,106.33565283004833,27.142857142857142,50
depth_scale,深度尺度偏差,0.25,×,0.0,98.0,2.0,-113.0795296238114,289.2322635506771,0.0,50
depth_scale,深度尺度偏差,0.1,×,0.0,100.0,0.0,-92.54309128344022,33.830292001906514,0.0,50
combined,组合退化,0.0,severity,60.0,40.0,0.0,106.57769473001827,128.00621850198516,26.566666666666666,50
combined,组合退化,0.25,severity,16.0,78.0,6.0,-117.3715060504921,404.3224493537282,39.0,50
combined,组合退化,0.5,severity,34.0,66.0,0.0,40.31276934964676,113.18417434254032,25.58823529411765,50
combined,组合退化,0.75,severity,36.0,64.0,0.0,45.01767508280789,120.4330463095775,22.88888888888889,50
combined,组合退化,1.0,severity,12.0,88.0,0.0,-28.3108548826431,76.22435647631515,38.833333333333336,50
