ablation,episodes,success_rate,success_ci_low,success_ci_high,collision_rate,timeout_rate,avg_reward,reward_std,delta_vs_baseline
baseline,100,21.0,14.165654061915301,29.979968834089867,79.0,0.0,4.837472043176416,121.3215945584104,0.0
const_depth,100,24.0,16.691325556948772,33.232336349814474,76.0,0.0,10.981564292324704,120.42669751028164,3.0
no_velocity,100,5.0,2.154367915436796,11.175046923191912,95.0,0.0,-48.72333353367624,74.13504547962341,-16.0
no_target_dir,100,1.0,0.17674320641406505,5.4486196178705315,99.0,0.0,-280.4852418554409,151.9631618463836,-20.0
no_depth_no_velocity,100,5.0,2.154367915436796,11.175046923191912,95.0,0.0,-46.89566394849614,84.35800112517524,-16.0
no_velocity_no_target_dir,100,0.0,3.469446951953614e-16,3.699349820698568,100.0,0.0,-305.6104730988547,193.8575792999001,-21.0
all_inputs_ablated,100,0.0,3.469446951953614e-16,3.699349820698568,100.0,0.0,-220.32689815433972,60.58748595005263,-21.0
