ablation,episodes,success_rate,success_ci_low,success_ci_high,collision_rate,timeout_rate,avg_reward,reward_std,delta_vs_baseline
baseline,200,7.000000000000001,4.215217182834281,11.405480885610647,93.0,0.0,-53.371133113491176,66.85386536975899,0.0
const_depth,200,2.0,0.7804426416349468,5.0287086905826435,98.0,0.0,-63.63219929638743,34.40500823229812,-5.000000000000001
