episode,seed,stratum,result,direct_distance,planned_length,trajectory_length,path_efficiency,min_clearance,waypoints,steps
0,20260728,clear,success,6.307138919830322,6.324828624725342,5.893730385694653,1.070143781116812,0.19082960207060312,3,56
1,20260729,avoidance,success,15.326447486877441,17.144052505493164,16.562293514609337,0.9253819510781055,0.17927845993021552,6,137
2,20260730,clear,success,9.567131042480469,9.567131042480469,9.269502904266119,1.0321083170573657,0.03480387572999161,2,44
3,20260731,clear,success,5.247856616973877,5.247856616973877,4.826347511261702,1.0873350094929208,0.35604633540834263,2,32
4,20260732,clear,success,11.82243537902832,12.180912017822266,11.485876663587987,1.0293019614695391,0.15668961340459953,5,90
5,20260733,clear,success,6.462197780609131,6.462197780609131,6.058801840990782,1.0665801506973172,0.22625883155188115,2,33
6,20260734,avoidance,success,13.366002082824707,17.55459213256836,16.804465868510306,0.7953839287371284,0.18269250622766403,6,143
7,20260735,clear,success,10.482843399047852,10.846402168273926,10.160787169355899,1.0316959920844762,0.2103604561303028,5,84
8,20260736,clear,success,8.58021068572998,8.864962577819824,8.4086595159024,1.020401726280288,0.19355466172152813,4,79
9,20260737,clear,success,7.553807258605957,7.608406066894531,7.144376542419195,1.057308109917751,0.2892756557312818,3,49
10,20260738,clear,success,4.818713665008545,5.522280693054199,4.832421021535993,0.9971634597924395,0.23117577371268366,4,63
11,20260739,avoidance,success,7.224956512451172,7.507495403289795,7.028684168122709,1.0279244791249291,0.4281954574778376,3,53
12,20260740,avoidance,success,6.007495403289795,6.785904407501221,6.217158277519047,0.9662767353072893,0.3179847115059796,3,58
13,20260741,clear,success,10.724737167358398,11.17872142791748,10.694829021580517,1.002796505275356,0.265869831307882,3,67
14,20260742,clear,success,5.547972679138184,5.547972679138184,5.055736942216754,1.09736181738633,0.2098953403779012,2,32
15,20260743,avoidance,success,8.99499797821045,10.007345199584961,9.283626678399742,0.9689099195618404,0.1819640604067198,4,65
16,20260744,clear,success,8.87411880493164,8.930360794067383,8.513626926578581,1.0423429264004562,0.15271567319629148,3,50
17,20260745,avoidance,success,7.846018314361572,23.801738739013672,22.756579725071788,0.3447802090275155,0.17545246430497508,9,215
18,20260746,avoidance,success,10.93663501739502,11.955602645874023,11.378527003340423,0.9611643944936216,0.10417901777378541,4,85
19,20260747,avoidance,success,7.94858455657959,8.356310844421387,7.825331610627472,1.0157505077209417,0.2808781917911456,3,60
20,20260748,avoidance,success,4.983973979949951,5.146648406982422,4.554539072327316,1.094287237589379,0.19033806121000285,3,33
21,20260749,avoidance,success,7.707139492034912,9.626320838928223,8.929371335543692,0.8631222963431209,0.17977447310031142,7,118
22,20260750,clear,success,4.263801097869873,4.284494876861572,3.7900140890851617,1.125009300136685,0.3278799623501323,3,41
23,20260751,avoidance,success,7.823042869567871,8.28409194946289,7.796539643779397,1.0033993575354445,0.26899796942991894,3,60
24,20260752,avoidance,success,9.758073806762695,23.326478958129883,22.51960437837988,0.43331461968892354,0.10135279382652823,8,205
25,20260753,clear,success,12.108262062072754,12.13579273223877,11.664370758458972,1.0380553150106167,0.23948147733659442,3,60
26,20260754,avoidance,success,6.413267612457275,7.636716842651367,7.0641377302818,0.9078627650428667,0.17121230191117442,5,96
27,20260755,avoidance,success,9.246621131896973,10.295433044433594,9.376747220288962,0.9861224702623498,0.08735222240767476,7,123
28,20260756,clear,success,3.446737766265869,3.446737766265869,2.9540253514423966,1.1667935634279136,0.3795254726482632,2,28
29,20260757,clear,success,3.7229020595550537,3.7229020595550537,3.2657378083094954,1.1399880449931798,0.6773215244417844,2,29
30,20260758,avoidance,success,8.51704216003418,19.24321746826172,18.32088160328567,0.4648816767915105,0.23646067256328235,8,186
31,20260759,clear,success,14.530657768249512,15.306567192077637,14.688725281506777,0.9892388542757844,0.16295304954055057,5,112
32,20260760,avoidance,success,7.39729642868042,7.999858856201172,7.442759413272142,0.993891649310785,0.17768279278978355,4,83
33,20260761,avoidance,success,13.369367599487305,15.638298988342285,15.006977088749409,0.8908767915365311,0.14488629006053028,5,122
34,20260762,clear,success,3.014962673187256,3.014962673187256,2.5185086401179433,1.1971222274806503,0.648305174836272,2,27
35,20260763,avoidance,success,12.32923412322998,19.27181625366211,18.507593419402838,0.6661716541873218,0.19234051049653406,8,173
36,20260764,clear,success,8.501176834106445,8.667795181274414,8.076221629977226,1.0526180711227482,0.14086070757561553,3,39
37,20260765,avoidance,success,5.832666873931885,6.484347343444824,5.860381490783766,0.9952708510707936,0.2263912656535897,4,74
38,20260766,clear,success,7.851751804351807,7.950404167175293,7.4825422670692205,1.0493427934122714,0.20950451316880958,3,57
39,20260767,avoidance,success,11.580155372619629,13.30688190460205,12.861573956906796,0.9003684472382144,0.25345167910699673,4,85
40,20260768,avoidance,success,15.625940322875977,19.061012268066406,18.326022874563932,0.8526640193472854,0.08021674522258204,8,185
41,20260769,avoidance,success,7.851751804351807,8.44936752319336,7.829379934817553,1.0028574254564868,0.19003492359761337,5,84
42,20260770,clear,success,3.35410213470459,3.35410213470459,2.874631733633578,1.1667936784601463,0.5300927741353836,2,28
43,20260771,clear,collision,8.869047164916992,9.163972854614258,1.549596244469285,5.723456801455089,0.0,3,10
44,20260772,avoidance,success,14.638647079467773,18.56396484375,17.638306410051882,0.8299349574245611,0.13000798472926528,7,172
45,20260773,avoidance,success,7.156116008758545,8.48248291015625,7.8897013841196895,0.9070198807729659,0.2758886508736228,4,76
46,20260774,avoidance,success,7.379024028778076,20.10576057434082,18.965491281822324,0.389076344985093,0.18449949224939283,13,253
47,20260775,clear,success,6.606814861297607,8.637462615966797,7.884843172505498,0.8379132871450907,0.1842512262116207,5,99
48,20260776,avoidance,success,13.148763656616211,19.09117889404297,18.207974842749536,0.7221431142218478,0.16262200224052675,7,171
49,20260777,avoidance,success,9.863569259643555,13.376742362976074,12.677438084036112,0.7780412094509945,0.21488014704926361,6,124
50,20260778,clear,success,3.612478494644165,3.612478494644165,3.1688735224306583,1.1399882226518283,0.35367647043496975,2,29
51,20260779,clear,success,3.2863354682922363,3.2863352298736572,2.816552259027958,1.1667937130434813,0.21695804340235286,2,28
52,20260780,clear,success,7.2869744300842285,7.2869744300842285,6.868611628189683,1.060909369249752,0.20158001149453575,2,34
53,20260781,clear,success,3.4073450565338135,3.4073450565338135,2.920263850130141,1.1667935609249713,0.6199913763485712,2,28
54,20260782,clear,success,4.080441474914551,4.131098747253418,3.6378473844379187,1.121663732340717,0.22336390300617487,3,43
55,20260783,avoidance,success,14.236573219299316,19.18081283569336,17.92605456430465,0.7941833027579849,0.12057870304958934,8,188
