axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
depth_scale,深度尺度偏差,1.0,×,75.0,25.0,0.0,396.7688290448302,166.38186408021852,62.45333333333333,100
depth_scale,深度尺度偏差,0.75,×,74.0,25.0,1.0,383.8314689236489,197.44945986367193,62.5945945945946,100
depth_scale,深度尺度偏差,0.5,×,78.0,21.0,1.0,387.2194655449685,198.80551155357165,65.82051282051282,100
depth_scale,深度尺度偏差,0.25,×,78.0,22.0,0.0,400.709906449214,167.69894412381115,62.96153846153846,100
depth_scale,深度尺度偏差,0.1,×,73.0,27.0,0.0,380.54509293871297,167.4517576581701,69.26027397260275,100
