ablation,episodes,success_rate,success_ci_low,success_ci_high,collision_rate,timeout_rate,avg_reward,reward_std,delta_vs_baseline
baseline,100,81.0,72.22115462093562,87.48524849023126,19.0,0.0,423.6680550812192,146.59519523796928,0.0
const_depth,100,77.0,67.84561697712623,84.15673411969654,23.0,0.0,409.263207486128,159.30964562530144,-4.0
no_velocity,100,11.0,6.254196357064568,18.631296503080314,53.0,36.0,-493.5296246670896,636.6522025817353,-70.0
no_target_dir,100,0.0,3.469446951953614e-16,3.699349820698568,7.000000000000001,93.0,-2350.9623218180814,539.1735001964557,-81.0
no_depth_no_velocity,100,12.0,6.999406437019489,19.81209942671142,60.0,28.000000000000004,-348.9570233929836,600.4017146752326,-69.0
no_velocity_no_target_dir,100,0.0,3.469446951953614e-16,3.699349820698568,7.000000000000001,93.0,-2431.0418084491253,661.4787176015368,-81.0
all_inputs_ablated,100,0.0,3.469446951953614e-16,3.699349820698568,0.0,100.0,-2642.427962680139,113.87649555482946,-81.0
