axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
gaussian,高斯球稀疏化,100,%,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
gaussian,高斯球稀疏化,50,%,32.0,68.0,0.0,30.816672509558057,146.36483380739452,24.8125,50
gaussian,高斯球稀疏化,20,%,30.0,70.0,0.0,25.76574663601056,143.2539504030086,24.6,50
gaussian,高斯球稀疏化,5,%,28.000000000000004,72.0,0.0,11.411129726689627,146.07468780036342,25.071428571428573,50
gaussian,高斯球稀疏化,2,%,8.0,92.0,0.0,-45.959437603884,87.26115028480362,19.0,50
resolution,渲染分辨率,64,px,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
resolution,渲染分辨率,32,px,30.0,70.0,0.0,26.80073715630128,139.98074708583462,24.6,50
resolution,渲染分辨率,16,px,30.0,70.0,0.0,32.95712926587212,126.09306961105297,24.666666666666668,50
resolution,渲染分辨率,8,px,28.000000000000004,72.0,0.0,28.65413007127047,122.99219087544004,24.785714285714285,50
resolution,渲染分辨率,2,px,24.0,76.0,0.0,16.64372535901698,116.2822148550945,24.5,50
depth_noise,深度噪声,0.0,σ,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
depth_noise,深度噪声,0.1,σ,32.0,68.0,0.0,31.811851770744983,147.28954491804913,24.8125,50
depth_noise,深度噪声,0.25,σ,32.0,68.0,0.0,38.696867919731815,129.50814074230416,24.8125,50
depth_noise,深度噪声,0.5,σ,32.0,68.0,0.0,39.890600464055105,127.02603542898204,23.8125,50
depth_noise,深度噪声,1.0,σ,32.0,68.0,0.0,38.12866410250396,125.4519078192646,23.6875,50
lighting,光照偏移,0,EV,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
lighting,光照偏移,1,EV,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
lighting,光照偏移,2,EV,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
lighting,光照偏移,3,EV,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
lighting,光照偏移,4,EV,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
viewpoint_uncertainty,视角不确定性,360,°,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
viewpoint_uncertainty,视角不确定性,270,°,32.0,68.0,0.0,31.850596239521757,147.14504467165636,24.8125,50
viewpoint_uncertainty,视角不确定性,180,°,30.0,70.0,0.0,30.092364884768443,133.4965576749998,23.666666666666668,50
viewpoint_uncertainty,视角不确定性,90,°,24.0,76.0,0.0,16.713092902896594,115.84105429708629,24.25,50
viewpoint_uncertainty,视角不确定性,45,°,14.000000000000002,86.0,0.0,-23.856060629729914,110.53170053353651,26.714285714285715,50
depth_failure,深度大面积失效,0,%,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
depth_failure,深度大面积失效,25,%,0.0,100.0,0.0,-66.03631280689909,66.62708642723955,0.0,50
depth_failure,深度大面积失效,50,%,0.0,100.0,0.0,-98.8437321063297,65.73578306993846,0.0,50
depth_failure,深度大面积失效,75,%,0.0,100.0,0.0,-93.38538471239502,48.114181350863376,0.0,50
depth_failure,深度大面积失效,90,%,4.0,96.0,0.0,-67.03710209130978,81.86248038974962,19.0,50
occlusion,相机遮挡,0,%,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
occlusion,相机遮挡,25,%,4.0,96.0,0.0,-55.08882521900814,70.24929887800302,20.0,50
occlusion,相机遮挡,50,%,2.0,98.0,0.0,-57.00382323416677,68.48753175380271,20.0,50
occlusion,相机遮挡,75,%,4.0,96.0,0.0,-62.285239788221396,71.89756280144593,20.5,50
occlusion,相机遮挡,90,%,0.0,100.0,0.0,-97.19412264354766,71.68194431561935,0.0,50
depth_scale,深度尺度偏差,1.0,×,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
depth_scale,深度尺度偏差,0.75,×,32.0,68.0,0.0,39.42071337499388,129.2683505276093,24.75,50
depth_scale,深度尺度偏差,0.5,×,32.0,68.0,0.0,36.6844838460793,134.49232408626693,24.375,50
depth_scale,深度尺度偏差,0.25,×,36.0,64.0,0.0,39.557250756796954,148.99960846529845,24.38888888888889,50
depth_scale,深度尺度偏差,0.1,×,8.0,92.0,0.0,-33.40392319687733,75.62608146904404,22.5,50
combined,组合退化,0.0,severity,32.0,68.0,0.0,31.82325507111503,147.4258529774096,24.8125,50
combined,组合退化,0.25,severity,20.0,80.0,0.0,0.8197416619358893,116.11538498946919,26.3,50
combined,组合退化,0.5,severity,14.000000000000002,86.0,0.0,-27.40932019434156,120.57485320876086,23.857142857142858,50
combined,组合退化,0.75,severity,26.0,74.0,0.0,19.231179494828947,124.35603709512905,24.23076923076923,50
combined,组合退化,1.0,severity,18.0,82.0,0.0,-10.194775644956845,122.18502740869538,23.11111111111111,50
