axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
gaussian,高斯球稀疏化,100,%,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
gaussian,高斯球稀疏化,50,%,38.0,62.0,0.0,43.848433806635605,118.96885955833223,28.36842105263158,50
gaussian,高斯球稀疏化,20,%,34.0,64.0,2.0,13.53492249791595,199.88615124996247,28.11764705882353,50
gaussian,高斯球稀疏化,5,%,34.0,66.0,0.0,25.463236114152725,106.44226011229628,35.88235294117647,50
gaussian,高斯球稀疏化,2,%,34.0,66.0,0.0,16.18236027746859,98.2082859702988,37.529411764705884,50
resolution,渲染分辨率,64,px,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
resolution,渲染分辨率,32,px,36.0,62.0,2.0,1.5891900710982731,311.2730396747352,29.0,50
resolution,渲染分辨率,16,px,36.0,64.0,0.0,38.367100297228056,113.26156279145867,30.27777777777778,50
resolution,渲染分辨率,8,px,36.0,60.0,4.0,-8.660852227119552,281.01382185670064,30.166666666666668,50
resolution,渲染分辨率,2,px,18.0,68.0,14.000000000000002,-215.72440665907993,561.1777818741733,24.555555555555557,50
depth_noise,深度噪声,0.0,σ,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
depth_noise,深度噪声,0.1,σ,36.0,64.0,0.0,40.92679495454422,116.26083562459232,26.72222222222222,50
depth_noise,深度噪声,0.25,σ,40.0,60.0,0.0,48.09818569062521,127.11298979629476,27.15,50
depth_noise,深度噪声,0.5,σ,42.0,57.99999999999999,0.0,48.208181541797586,141.08830829360517,27.238095238095237,50
depth_noise,深度噪声,1.0,σ,46.0,54.0,0.0,63.97334997615378,122.81030081282772,27.08695652173913,50
lighting,光照偏移,0,EV,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
lighting,光照偏移,1,EV,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
lighting,光照偏移,2,EV,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
lighting,光照偏移,3,EV,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
lighting,光照偏移,4,EV,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
viewpoint_uncertainty,视角不确定性,360,°,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
viewpoint_uncertainty,视角不确定性,270,°,38.0,62.0,0.0,46.86526133736295,119.70985799293963,27.210526315789473,50
viewpoint_uncertainty,视角不确定性,180,°,44.0,54.0,2.0,35.06063351430737,262.7663125827285,25.636363636363637,50
viewpoint_uncertainty,视角不确定性,90,°,38.0,60.0,2.0,7.298409903660413,263.3461270843686,29.05263157894737,50
viewpoint_uncertainty,视角不确定性,45,°,30.0,60.0,10.0,-151.25835227947357,503.7692474941459,33.6,50
depth_failure,深度大面积失效,0,%,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
depth_failure,深度大面积失效,25,%,10.0,86.0,4.0,-98.83165658635222,377.27015016733856,31.6,50
depth_failure,深度大面积失效,50,%,18.0,80.0,2.0,-51.15203427104065,280.3554173109687,43.44444444444444,50
depth_failure,深度大面积失效,75,%,4.0,96.0,0.0,-56.21545509867664,82.56858498652144,27.0,50
depth_failure,深度大面积失效,90,%,0.0,100.0,0.0,-67.8916087676623,52.6891499053198,0.0,50
occlusion,相机遮挡,0,%,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
occlusion,相机遮挡,25,%,2.0,80.0,18.0,-385.88008687963503,737.2384577971154,24.0,50
occlusion,相机遮挡,50,%,10.0,78.0,12.0,-240.7182652962392,573.8433749011642,23.0,50
occlusion,相机遮挡,75,%,12.0,84.0,4.0,-93.0674201410051,355.49522565177233,21.833333333333332,50
occlusion,相机遮挡,90,%,0.0,100.0,0.0,-64.8827350539822,15.240547200730337,0.0,50
depth_scale,深度尺度偏差,1.0,×,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
depth_scale,深度尺度偏差,0.75,×,42.0,57.99999999999999,0.0,57.77789430823654,116.10897212879941,25.666666666666668,50
depth_scale,深度尺度偏差,0.5,×,42.0,57.99999999999999,0.0,63.02446273618478,121.45781747975487,25.238095238095237,50
depth_scale,深度尺度偏差,0.25,×,46.0,54.0,0.0,70.6432785322389,123.98594977485543,24.869565217391305,50
depth_scale,深度尺度偏差,0.1,×,16.0,76.0,8.0,-151.4989572487036,499.9989857456026,36.875,50
combined,组合退化,0.0,severity,36.0,64.0,0.0,39.78575493214452,116.32230411537344,27.666666666666668,50
combined,组合退化,0.25,severity,20.0,74.0,6.0,-101.10591562145375,423.84026491285255,30.4,50
combined,组合退化,0.5,severity,40.0,60.0,0.0,50.889608681973314,116.61693583968169,24.15,50
combined,组合退化,0.75,severity,18.0,80.0,2.0,-35.69719683851298,254.27108652792913,24.0,50
combined,组合退化,1.0,severity,8.0,78.0,14.000000000000002,-293.3886660953491,675.6515725316747,20.0,50
