axis,axis_name,level,unit,success_rate,collision_rate,timeout_rate,avg_reward,reward_std,avg_steps,episodes
gaussian,高斯球稀疏化,100,%,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
gaussian,高斯球稀疏化,50,%,28.000000000000004,72.0,0.0,30.31545435631572,127.72885615179962,27.785714285714285,50
gaussian,高斯球稀疏化,20,%,26.0,74.0,0.0,27.427660929376703,120.49344316290399,26.846153846153847,50
gaussian,高斯球稀疏化,5,%,20.0,80.0,0.0,5.7799033702679665,109.03613409407954,23.9,50
gaussian,高斯球稀疏化,2,%,20.0,80.0,0.0,2.3957018990589085,103.69715478566296,21.1,50
resolution,渲染分辨率,64,px,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
resolution,渲染分辨率,32,px,24.0,76.0,0.0,18.785100220816716,119.10095354943748,25.5,50
resolution,渲染分辨率,16,px,24.0,76.0,0.0,19.84916565967099,117.5750563628596,25.5,50
resolution,渲染分辨率,8,px,24.0,76.0,0.0,18.220541323997633,115.42497026588835,24.25,50
resolution,渲染分辨率,2,px,22.0,78.0,0.0,8.210853055448933,109.90528837002174,23.727272727272727,50
depth_noise,深度噪声,0.0,σ,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
depth_noise,深度噪声,0.1,σ,30.0,70.0,0.0,38.56933430341096,124.69044836094696,27.666666666666668,50
depth_noise,深度噪声,0.25,σ,30.0,70.0,0.0,38.793818987962894,125.12769654766159,27.733333333333334,50
depth_noise,深度噪声,0.5,σ,32.0,68.0,0.0,44.624704163163386,127.33703631880095,28.0625,50
depth_noise,深度噪声,1.0,σ,28.000000000000004,72.0,0.0,21.93252610634756,126.59092829721261,25.0,50
lighting,光照偏移,0,EV,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
lighting,光照偏移,1,EV,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
lighting,光照偏移,2,EV,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
lighting,光照偏移,3,EV,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
lighting,光照偏移,4,EV,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
viewpoint_uncertainty,视角不确定性,360,°,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
viewpoint_uncertainty,视角不确定性,270,°,30.0,70.0,0.0,34.99493195284021,129.75532107115677,27.733333333333334,50
viewpoint_uncertainty,视角不确定性,180,°,34.0,66.0,0.0,46.08076022420829,133.57851563028834,27.764705882352942,50
viewpoint_uncertainty,视角不确定性,90,°,18.0,82.0,0.0,-7.322259246852025,115.78216835331108,21.22222222222222,50
viewpoint_uncertainty,视角不确定性,45,°,12.0,88.0,0.0,-28.565720823093347,101.08042250882195,22.333333333333332,50
depth_failure,深度大面积失效,0,%,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
depth_failure,深度大面积失效,25,%,6.0,94.0,0.0,-38.080209126470294,65.66690701218592,18.0,50
depth_failure,深度大面积失效,50,%,4.0,96.0,0.0,-58.19356207085396,70.10273434286837,36.5,50
depth_failure,深度大面积失效,75,%,0.0,100.0,0.0,-66.37267546339946,31.061832098136335,0.0,50
depth_failure,深度大面积失效,90,%,0.0,100.0,0.0,-62.88269575129226,36.21124168931349,0.0,50
occlusion,相机遮挡,0,%,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
occlusion,相机遮挡,25,%,2.0,98.0,0.0,-43.285820056133204,45.90770180915983,19.0,50
occlusion,相机遮挡,50,%,0.0,100.0,0.0,-63.67261069559722,28.110011467332015,0.0,50
occlusion,相机遮挡,75,%,4.0,96.0,0.0,-47.521367977229595,52.72401682961277,17.5,50
occlusion,相机遮挡,90,%,0.0,100.0,0.0,-68.8900551298521,26.840678327288618,0.0,50
depth_scale,深度尺度偏差,1.0,×,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
depth_scale,深度尺度偏差,0.75,×,28.000000000000004,72.0,0.0,29.50775329130029,126.05727552717588,26.785714285714285,50
depth_scale,深度尺度偏差,0.5,×,28.000000000000004,72.0,0.0,31.133714740170145,126.16487773497437,26.857142857142858,50
depth_scale,深度尺度偏差,0.25,×,30.0,70.0,0.0,37.89639451013043,127.7978278216462,27.066666666666666,50
depth_scale,深度尺度偏差,0.1,×,20.0,80.0,0.0,-6.297946262729562,124.93731656206907,26.4,50
combined,组合退化,0.0,severity,30.0,70.0,0.0,35.065723082381275,129.49359736246333,27.733333333333334,50
combined,组合退化,0.25,severity,12.0,88.0,0.0,-20.76511432950524,93.97650423848435,24.166666666666668,50
combined,组合退化,0.5,severity,20.0,80.0,0.0,3.9198539958276166,115.46523815373946,25.4,50
combined,组合退化,0.75,severity,18.0,82.0,0.0,-9.083441248316122,98.6542480360047,28.333333333333332,50
combined,组合退化,1.0,severity,12.0,88.0,0.0,-22.906213493607616,95.57094161117739,23.166666666666668,50
